MenuId,ProductName,ProductDescription
1279,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1279,Bollinger Rose NV,"Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants."
1279,Moet & Chandon Brut Imperial NV,"Slightly appley, yeasty nose and long, rich flavours of biscuity, toasty fruit."
1279,Adnams Ghost Ship,
1279,Adnams Southwold Bitter,
1279,Brooklyn Lager,
1279,Budweiser Budvar,
1279,Kopparberg Naked Apple,
1279,Kopparberg Pear Cider,
1279,Kopparberg Strawberry & Lime,
1280,Argento Chardonnay,"An exceptional, lightly oaked Chardonnay which offers aromas of ripe citrus and tropical fruits. Concentrated grapefruit, apple and pear fruit flavours."
1280,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1280,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1280,Avito Chardonnay,"Fresh fruit aromas of green apples, ripe grapefruit and lime zest on the nose with honeysuckle and the scent of honey on the palate. The finish is fresh and crisp with citrus flavours and mineral touches."
1280,Avito Pinot Grigio,"A fresh dry white with gentle floral and citrus aromas. Crisp and delicate on the palate with lightly honeyed fruit balanced by lemony acidity, some minerality and a fresh, dry finish."
1280,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1280,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1280,Argento Malbec,Dark violet in colour with aromas of blackstone fruit and notes of chocolate. Black fruit flavours with a touch of sweet spice lead to a lingering finish.
1280,Avito Shiraz,"Ripe, plummy fruit and a touch of bramble, spice and vanilla. The palate has cherry and plummy notes leading to good acidity and a tannic finish."
1280,Armand de Brignac Brut Gold,"Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines."
1280,Ayala Brut Majeur,"Light gold in colour, with a delicate mousse. The nose unveils expressive notes of citrus, florals and white fruits. Well balanced with a delicate complexity, Chardonnay adds a lively, fresh fruitiness on the palate, whilst Pinot Noir gives the wine richness and length."
1296,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1296,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1296,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1301,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1301,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1301,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1301,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1301,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1301,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1301,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1301,Avito Pinot Grigio Rose,"A dry, fresh and fruity Rosé with delicate aromas of red berries. Soft and creamy textured with good intensity of ripe berry and red cherry fruit, and a vibrant finish."
1301,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1301,Asahi,
1301,Badger Fursty Ferret,
1301,Badger Tanglefoot,
1301,Smirnoff Red Vodka Mojito,Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.
1301,Pampero Blanco Rum Daiquiri,Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.
1302,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1302,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1302,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1302,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1302,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1302,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1302,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1302,Avito Pinot Grigio Rose,"A dry, fresh and fruity Rosé with delicate aromas of red berries. Soft and creamy textured with good intensity of ripe berry and red cherry fruit, and a vibrant finish."
1302,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1302,Asahi,
1302,Badger Fursty Ferret,
1302,Badger Tanglefoot,
1302,Smirnoff Red Vodka Mojito,Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.
1302,Pampero Blanco Rum Daiquiri,Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.
1303,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1303,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1303,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1303,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1303,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1303,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1303,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1303,Avito Pinot Grigio Rose,"A dry, fresh and fruity Rosé with delicate aromas of red berries. Soft and creamy textured with good intensity of ripe berry and red cherry fruit, and a vibrant finish."
1303,Barefoot Pink Moscato,This is a deep Rosé wine with a floral and fruity bouquet with hints of cherry. Refreshing on the palate bursting with wild berries flavour.
1303,Asahi,
1303,Badger Fursty Ferret,
1303,Badger Tanglefoot,
1303,Smirnoff Red Vodka Mojito,Fresh mint and citrus combined with Smirnoff Red Vodka for a cool and invigorating long drink.
1303,Pampero Blanco Rum Daiquiri,Enjoy the sweet and creamy taste of Pampero Blanco Rum shaken in a zesty drink with fresh raspberry.
1311,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1311,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1311,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1311,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1311,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1311,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1311,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1311,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1312,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1312,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1312,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1312,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1312,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1312,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1312,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1331,Yellow Tail Sauvignon Blanc,"Pale straw in colour with vibrant citrus, passion fruit and fresh grassy scents on the nose and a tantalising palate of limes, tropical fruit and green apples."
1331,Avito Pinot Grigio,"A fresh dry white with gentle floral and citrus aromas. Crisp and delicate on the palate with lightly honeyed fruit balanced by lemony acidity, some minerality and a fresh, dry finish."
1331,Yellow Tail Cabernet Sauvignon,"Yellow Tail Cabernet Sauvignon leaps from the glass with a touch of mint and aromas of blackberries, chocolate and vanilla. The seamless structure shows rich berry flavours, peppered with spice. The palate is tremendously long and well-structured with toasted oak supporting soft fruit and velvety tannins."
1331,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1331,Chio Prosecco,"Smooth and elegant with crisp, fruity flavours and a long finish."
1331,Pier 42 Shiraz Rose,Light and easy drinking with pleasant acidity and lovely blackberry flavour.
1331,Concha Y Toro Sauvignon Blanc,"Fresh, crisp full of gooseberry, nettle and asparagus flavours with a tangy lime finish."
1331,Yellowtail Pinot Grigio,"Fresh, zesty and elegant with citrus fruits with delicate notes of green apples and pears."
1331,Concha Y Toro Merlot,"Soft, juicy style of Merlot, easy drinking with plummy character and good body."
1331,Yellowtail Shiraz,Berry and smooth vanilla aromas. Subdued earthy tones with soft ripe sweetness.
1332,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1332,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1332,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1332,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1332,7Up,
1355,Abbots & Delaunay Languedoc White,"Fresh & round with nice intense flavours of lemon zest, orange peel, verbena."
1355,Abbots & Delaunay Roussillon,"Aromas of raspberry, violet, liquorice and blackberry integrated with spicy notes."
1360,Jack Rabbit Chardonnay,"A lively and well balanced Chardonnay, with notes of pineapple and tropical fruit flavours."
1360,Jack Rabbit Pinot Grigio,Jack Rabbit Pinot Grigio is dry and crisp with flavours of fresh apple. Ideal if you like white wines light and vibrant.
1360,Solar Viejo Rioja Blanco,"A modern, un-oaked white Rioja with vibrant fruit flavours, hints of crisp citrus and soft floral notes. Refreshing, with well integrated acidity."
1360,Jack Rabbit White Zinfandel,Jack Rabbit White Zinfandel is a refreshing rosé with fresh strawberry flavours and a delightfully sweet taste.
1360,Jack Rabbit Shiraz,"Rich and spicy with flavours of blackberries, raspberries and violet balanced with sweet vanilla and followed by soft tannins."
1360,Jack Rabbit Merlot,This Merlot is smooth and fruity and full of berry flavours. Ideal if you like your red wines mellow.
1360,Solar Viejo Cosecha Tempranillo,"Vibrant aromas of cherries, plums and sloes on the nose. The palate is velvet on the tongue, with a touch of unaggressive tannins, but typical of a young wine from this region."
1360,Chio Prosecco,"Smooth and elegant with crisp, fruity flavours and a long finish."
1360,Petite Fleur Rose,"A well-balanced, dry Rosé wine with a fresh fruitiness."
1360,Petite Fleur Sauvignon Blanc,"A lively wine with aromas of citrus fruit and mineral. On the palate it displays plenty of green and citrus fruit, in particular green apple and lime flavours, as well as some refined mineral notes."
1360,Petite Fleur Cabernet Sauvignon,"The nose is dominated by black fruits and spicy notes. On the palate, there are abundant flavours of elderberry, bramble, cinnamon and orange zest with soft, round tannins providing a silky finish."
1360,Scruffy Dog Chardonnay,Dry - Fresh - Lively
1360,Scruffy Dog Zinfandel Rose,Delicate - Floral - Light
1360,Scruffy Dog Merlot,Soft - Plummy - Indulgent
1367,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1367,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1392,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1392,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1392,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1393,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1393,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1393,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1393,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1393,Antoine Mouiex St Emilion Grand Cru,"A delicious red with some loose red fruit flavours, Strawberry and Raspberry with hints of vanilla."
1393,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1394,7Up Free,
1394,7Up Free,
1400,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1400,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1400,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1400,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1400,Argento Malbec,Dark violet in colour with aromas of blackstone fruit and notes of chocolate. Black fruit flavours with a touch of sweet spice lead to a lingering finish.
1400,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1400,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1400,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1400,Avito Chardonnay,"Fresh fruit aromas of green apples, ripe grapefruit and lime zest on the nose with honeysuckle and the scent of honey on the palate. The finish is fresh and crisp with citrus flavours and mineral touches."
1400,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1400,Araldica Spumante Moscato Bianco,"Typical Asti aromas of fresh juicy grapes and yeasty hints. A true tingle on the palate leads to a fresh, light-bodied sparkling wine."
1400,Armand de Brignac Brut Gold,"Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines."
1403,Akau Pinot Noir,"Fruit-driven with plum, black cherry and spicy oak aromas. A medium level of soft, ripe tannins provides a silky texture to this lingering, accessible wine."
1403,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1403,Andes Peak Cabernet Sauvignon,"This dry, fresh and complex tasting wine has a yellow-greenish colour with fresh zingy fruit aromas."
1403,Andes Peak Merlot,A medium bodied wine which has a blackberry and plum aroma and fruity herbaceous palate.
1403,Antoine Mouiex St Emilion Grand Cru,"A delicious red with some loose red fruit flavours, Strawberry and Raspberry with hints of vanilla."
1403,Apothic Red,"An easy drinking, everyday wine which is dry and fresh in style. It has aromas and flavours of apples and pears with some citrus fruit."
1403,Argento Malbec,Dark violet in colour with aromas of blackstone fruit and notes of chocolate. Black fruit flavours with a touch of sweet spice lead to a lingering finish.
1403,Avito Shiraz,"Ripe, plummy fruit and a touch of bramble, spice and vanilla. The palate has cherry and plummy notes leading to good acidity and a tannic finish."
1403,Akau Sauvignon Blanc,"Vibrancy and fruitiness, abundant aromas of pineapple, gooseberry and elderflower, hints of nettle and a lingering finish."
1403,Alma Mora Viognier,"Aromas of ripe apricots and peaches with a refreshing combination of orange blossom, ripe apricot and a hint of pineapple on the palate."
1403,Andes Peak Sauvignon Blanc,"A medium bodied, soft and round wine, displaying a lovely pepper and berry nose and palate."
1403,Argento Chardonnay,"An exceptional, lightly oaked Chardonnay which offers aromas of ripe citrus and tropical fruits. Concentrated grapefruit, apple and pear fruit flavours."
1403,Avito Chardonnay,"Fresh fruit aromas of green apples, ripe grapefruit and lime zest on the nose with honeysuckle and the scent of honey on the palate. The finish is fresh and crisp with citrus flavours and mineral touches."
1403,Avito Pinot Grigio,"A fresh dry white with gentle floral and citrus aromas. Crisp and delicate on the palate with lightly honeyed fruit balanced by lemony acidity, some minerality and a fresh, dry finish."
1403,Babich Cowslip Valley Riesling,"The nose is lemon, lime and floral. Citrus with a juicy weight on the palate and tightly focused with grainy tannins adding texture. The finish is long, dry and limey with just a hint of apricot and slate."
1403,Alma Mora Shiraz Rose,"A young, fruity, intense wine with floral aromas, powerful and elegant with an almost sweet aromatic long finish."
1403,Avito Pinot Grigio Rose,"A dry, fresh and fruity Rosé with delicate aromas of red berries. Soft and creamy textured with good intensity of ripe berry and red cherry fruit, and a vibrant finish."
1403,Araldica Spumante Moscato Bianco,"Typical Asti aromas of fresh juicy grapes and yeasty hints. A true tingle on the palate leads to a fresh, light-bodied sparkling wine."
1403,Armand de Brignac Brut Gold,"Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines."
1403,Ayala Brut Majeur,"Light gold in colour, with a delicate mousse. The nose unveils expressive notes of citrus, florals and white fruits. Well balanced with a delicate complexity, Chardonnay adds a lively, fresh fruitiness on the palate, whilst Pinot Noir gives the wine richness and length."
1406,100% Nacional,"Pampero Selección 1938 Rum with lemon, tamarind and Venezuelan Papelón juices."
1407,Apple Martini with Smirnoff,"Savour the cool taste of Smirnoff No.21 Vodka with a splash of apple liquor, topped with an apple slice."
1407,Baileys Arctic Orange,Enjoy a cool blend of Baileys and Grand Marnier lavishly blended with real vanilla ice cream
1407,Baileys Chocolat Luxe Mocha Mint Martini,"Baileys Chocolat Luxe, a hit of espresso and just a hint of mint freshness, served in a Martini glass"
1407,Captain Morgan Spiced Gold Cuba Libre,"A rich and spicy mix of fresh lime, Captain Morgan Spiced Rum and cola."
1407,CÎROC® Blue Stone,"Lemon and vanilla enhance the exquisitely smooth, fresh CÎROC® experience."
1407,Don Julio®La Primavera,Fresh lime and aromatic mint leaves with the crisp agave flavour of Don Julio® Blanco.
1407,Gordon's Gin Fizz,"Enjoy Gordon's Gin shaken with fresh lemon and sugar, and topped with soda water."
1407,Grand Julio Margarita,"The ultimate Margarita. Don Julio tequila
shaken with Grand Marnier and fresh lime."
1407,Johnnie Walker Gold Rush,"Enjoy the creamy Johnnie Walker Gold Label, with a touch of sugar, lemon and egg white."
1407,Jun Daiti Soda,"Enjoy the cool, refreshing taste of Jun Daiti and lemon soda, with cubed pineapple and mint finish."
1407,Lime Smirnoff and Cola,The refreshingly tasty combination of Smirnoff Lime Vodka and Cola.
1407,Mexico Fresh,"Enjoy the rich, elegant taste of Don Julio Reposado tequila combined with fresh grapefruit juice."
1412,7 Up Free,Lemon Lime soft drink containing 100% natural lemon and lime flavours
1412,7 Up Free,Lemon Lime soft drink containing 100% natural lemon and lime flavours
1412,"Aimery Cabernet Sauvignon Rose Wine, Vin de Pays d’Oc",This Rose Wine wine has pleasant strawberry flavours and a crisp dry finish.
1412,"Aimery Cabernet Sauvignon Rose Wine, Vin de Pays d’Oc",This Rose Wine wine has pleasant strawberry flavours and a crisp dry finish.
1415,Absolut Vodka,
1415,Absolut Pears,
1415,Absolut Mandrin,
1417,7Up,
1417,Alma Mora Shiraz,"A full-bodied wine of intense colour with spicy aromas. It is strong and elegant, with sweet tannins and a very pleasant finish in the mouth."
1417,5am Red Ale,
1418,Long Acre Chardonnay,"Juicy, sun-packed Aussie wine with peach, tropical fruits &amp; pineapple notes with crisp lemon acidity on the finish. 100% unoaked Chardonnay."
1418,Fairway Sauvignon Blanc,"This Sauvignon Blanc is a well-balanced, dry wine with a fresh fruitiness and lingering aftertaste. On the nose you will find pineapple, on the palate yellow plum and kiwi."
1418,Pinot Grigio Principato,"Pale straw yellow colour. Shows delicate, floral and fruity aromas on the nose. Crisp and fresh on the palate with a juicy citrus character and a hint of nuttiness."
1418,Boschendal Pavillion Chenin Blanc,"Un-Oaked fruit led style, tropical & citrus fruit flavours with fresh zingy finish."
1418,Greyrock Marlborough Sauvignon Blanc,"Nettle & ripe tropical fruits on the nose along with limey flavours and a rich minerality on the palate, classic Marlborough Sauvignon this wine is sappy fresh, clean and delicious."
1418,Riesling Pflaz Wolf,"An off-dry Riesling with honeyed, peachy, green apple fruit on both the nose and palate. Juicy and forward it has a beautiful streak of fresh acidity to cut the sweetness and leave everything perky and fresh on the finish."
1418,Chablis Josselin,"Brilliant yellow. Crisp, fresh and mineral on the nose. The mouth is refreshing, smooth and harmonious."
1418,Sancerre Eric Louis,"The grape variety used is Sauvignon Blanc, meaning that Sancerre is light and refreshing with grassy and gooseberry aromas and flavours."
