menuId,ProductName,ProductDescription,term
1428,"Grand Mojito","A bar must have in which Grand Marnier shows its exotic origin mixed with the refined French Cognac","Grand Marnier"
1428,"Grand Mojito","A bar must have in which Grand Marnier shows its exotic origin mixed with the refined French Cognac","La French"
1428,"Ketel One Vodka Bloody Mary","Ketel One Vodka, savoury-sweet tomato juice and a slight hint of citrus mixed for a peppery finish.","Ketel One"
1428,"Smirnoff Blueberry Cosmo","Enjoy Smirnoff Blueberry Vodka with red cranberry juice, laced with ginger ale and lime.",Smirnoff
1428,"Ketel One Pineapple martini cocktail","Enjoy the tangy taste of Ketel One Vodka, with a splash of lime and garnish of pineapple and rosemary.","Ketel One"
1428,"Ketel One Pineapple martini cocktail","Enjoy the tangy taste of Ketel One Vodka, with a splash of lime and garnish of pineapple and rosemary.",Martini
1428,"Ketel One Sweet Pepper martini cocktail","Enjoy the crisp taste of Ketel One Vodka with a touch of pepper and lime juice for a fiery finish.","Ketel One"
1428,"Ketel One Sweet Pepper martini cocktail","Enjoy the crisp taste of Ketel One Vodka with a touch of pepper and lime juice for a fiery finish.",Martini
1428,"Apple Martini with Smirnoff","Savour the cool taste of Smirnoff No.21 Vodka with a splash of apple liquor, topped with an apple slice.",Martini
1428,"Apple Martini with Smirnoff","Savour the cool taste of Smirnoff No.21 Vodka with a splash of apple liquor, topped with an apple slice.",Smirnoff
1428,"Bell's and Ginger","Enjoy the classic smoky and spicy pairing of Bell's Whisky with Ginger Ale.",Bell's
1428,"JOHNNIE WALKER® RED LABEL® & COLA","Enjoy the vibrant and refreshing taste of Johnnie Walker® Red Label® with cola","Johnnie Walker"
1428,"JOHNNIE WALKER® BLACK OLD FASHIONED","Enjoy a smoky classic made with the iconic flavours of Johnnie Walker® Black Label®","Johnnie Walker"
1431,"Smirnoff Red Vodka",,Smirnoff
1431,"Absolut Vodka",,Absolut
1431,"Absolut Kurant",,Absolut
1431,"Grey Goose Vodka",,"Grey Goose"
1431,"Grey Goose La Poire",,"Grey Goose"
1431,"Skyy Premium Vodka",,Skyy
1431,Ciroc,,Ciroc
1431,"Sailor Jerry Rum",,"Sailor Jerry"
1431,"Havana Club Anejo Blanco",,"Havana Club"
1431,"Havana Club Anejo Especial",,"Havana Club"
1431,"Captain Morgan The Original Rum",,"Captain Morgan"
1431,"Bacardi Oakheart",,Bacardi
1431,"Bombay Sapphire",,Bombay
1431,"Hendrick's Gin",,Hendrick's
1431,"Tanqueray Gin",,Tanqueray
1431,"Highland Park 12YO",,"Highland Park"
1431,"Johnnie Walker Red Label",,"Johnnie Walker"
1431,"Monkey Shoulder",,"Monkey Shoulder"
1431,"Talisker 10YO",,Talisker
1431,"The Balvenie Doublewood 12YO",,"The Balvenie"
1431,"Jim Beam Honey",,"Jim Beam"
1431,"Jim Beam Devil's Cut",,"Jim Beam"
1431,"Jack Daniel's",,"Jack Daniel's"
1431,"Jack Daniel's Tennessee Honey",,"Jack Daniel's"
1431,"Patron Silver Tequila",,Patron
1431,"Patron Anejo Tequila",,Patron
1431,"Patron XO Cafe",,Patron
1431,"Courvoisier VS Cognac",,Courvoisier
1431,"Courvoisier XO",,Courvoisier
1431,"Luxardo Sambuca Classic",,Luxardo
1431,"Luxardo Passione Nera",,Luxardo
1431,Jagermeister,,Jägermeister
1431,"Baileys Original",,Baileys
1431,"Baileys Chocolat Luxe",,Baileys
1431,"Chambord Raspberry Liqueur",,Chambord
1431,Cointreau,,Cointreau
1431,"Disaronno Amaretto",,Disaronno
1431,"Frangelico Hazelnut Liqueur",,Frangelico
1432,Amigos,,Casamigos
1432,Amstel,,Amstel
1433,"Smirnoff Red Vodka",,Smirnoff
1433,"Absolut Vodka",,Absolut
1433,"Absolut Kurant",,Absolut
1433,"Grey Goose Vodka",,"Grey Goose"
1433,"Grey Goose La Poire",,"Grey Goose"
1433,"Skyy Premium Vodka",,Skyy
1433,Ciroc,,Ciroc
1433,"Sailor Jerry Rum",,"Sailor Jerry"
1433,"Havana Club Anejo Blanco",,"Havana Club"
1433,"Havana Club Anejo Especial",,"Havana Club"
1433,"Captain Morgan The Original Rum",,"Captain Morgan"
1433,"Bacardi Oakheart",,Bacardi
1433,"Bombay Sapphire",,Bombay
1433,"Hendrick's Gin",,Hendrick's
1433,"Tanqueray Gin",,Tanqueray
1433,"Highland Park 12YO",,"Highland Park"
1433,"Johnnie Walker Red Label",,"Johnnie Walker"
1433,"Monkey Shoulder",,"Monkey Shoulder"
1433,"Talisker 10YO",,Talisker
1433,"The Balvenie Doublewood 12YO",,"The Balvenie"
1433,"Jack Daniel's",,"Jack Daniel's"
1433,"Jack Daniel's Tennessee Honey",,"Jack Daniel's"
1433,"Jim Beam Devil's Cut",,"Jim Beam"
1433,"Patron Silver Tequila",,Patron
1433,"Patron Anejo Tequila",,Patron
1433,"Patron XO Cafe",,Patron
1433,"Courvoisier VS Cognac",,Courvoisier
1433,"Courvoisier XO",,Courvoisier
1433,"Luxardo Sambuca Classic",,Luxardo
1433,"Luxardo Passione Nera",,Luxardo
1433,Jagermeister,,Jägermeister
1433,"Baileys Original",,Baileys
1433,"Baileys Chocolat Luxe",,Baileys
1433,"Chambord Raspberry Liqueur",,Chambord
1433,Cointreau,,Cointreau
1433,"Disaronno Amaretto",,Disaronno
1433,"Frangelico Hazelnut Liqueur",,Frangelico
1434,"Smirnoff Red Vodka",,Smirnoff
1434,"Absolut Vodka",,Absolut
1434,"Absolut Kurant",,Absolut
1434,"Grey Goose Vodka",,"Grey Goose"
1434,"Grey Goose La Poire",,"Grey Goose"
1434,"Skyy Premium Vodka",,Skyy
1434,Ciroc,,Ciroc
1434,"Sailor Jerry Rum",,"Sailor Jerry"
1434,"Havana Club Anejo Blanco",,"Havana Club"
1434,"Havana Club Anejo Especial",,"Havana Club"
1434,"Captain Morgan The Original Rum",,"Captain Morgan"
1434,"Bacardi Oakheart",,Bacardi
1434,"Bombay Sapphire",,Bombay
1434,"Hendrick's Gin",,Hendrick's
1434,"Tanqueray Gin",,Tanqueray
1434,"Highland Park 12YO",,"Highland Park"
1434,"Johnnie Walker Red Label",,"Johnnie Walker"
1434,"Monkey Shoulder",,"Monkey Shoulder"
1434,"Talisker 10YO",,Talisker
1434,"The Balvenie Doublewood 12YO",,"The Balvenie"
1434,"Jack Daniel's",,"Jack Daniel's"
1434,"Jack Daniel's Tennessee Honey",,"Jack Daniel's"
1434,"Jim Beam Devil's Cut",,"Jim Beam"
1434,"Patron Silver Tequila",,Patron
1434,"Patron Anejo Tequila",,Patron
1434,"Patron XO Cafe",,Patron
1434,"Courvoisier VS Cognac",,Courvoisier
1434,"Courvoisier XO",,Courvoisier
1434,"Luxardo Sambuca Classic",,Luxardo
1434,"Luxardo Passione Nera",,Luxardo
1434,Jagermeister,,Jägermeister
1434,"Baileys Original",,Baileys
1434,"Baileys Chocolat Luxe",,Baileys
1434,"Chambord Raspberry Liqueur",,Chambord
1434,Cointreau,,Cointreau
1434,"Disaronno Amaretto",,Disaronno
1434,"Frangelico Hazelnut Liqueur",,Frangelico
1439,"Bee 17","Incoming! The Bee 17 turned out pretty much as you would expect a pilsner-style lager from the Backyard Brewery in Sweden to. While lagering the brewmaster bombards the brew with hops giving the beers its final profile. The grassy Saaz battles flowery Willamette for your nose's attention, giving it a pleasurable sting in the tail. No wonder there's a real buzz about this beer.","Backyard Brew"
1439,"Tetley'S Gold","Tetley's Gold is the new ale from Tetley's; light, golden and refrshing - the perfect summer pint.",Tetley's
1441,"Birra Angelo Poretti","Birra Angelo Poretti is a pale blonde Pils-style Lager from Varese in Northern Italy with an aromatic aroma of lemons and limes, well balanced malty hoppy flavours with a subtely hoppy lingering finish.",Poretti
1441,"Bee 17","Incoming! The Bee 17 turned out pretty much as you would expect a pilsner-style lager from the Backyard Brewery in Sweden to. While lagering the brewmaster bombards the brew with hops giving the beers its final profile. The grassy Saaz battles flowery Willamette for your nose's attention, giving it a pleasurable sting in the tail. No wonder there's a real buzz about this beer.","Backyard Brew"
1443,"Cacique and Tonic","Experience the smooth and refreshingly crisp taste of Cacique Añejo rum mixed with tonic over ice.",Cacique
1443,"Captain Morgan Long Island Iced Tea","Enjoy Captain Morgan's Spiced mixed with vodka and tequila, cola and lemon.","Captain Morgan"
1443,"Cardhu Over Ice with a twist","Honeyed & Mellow. The generously flavoured malt.",Cardhu
1443,"Don Julio Paloma #2","The refreshing taste of Don Julio Blanco built over fresh grapefruit and lemonade.","Don Julio"
1443,"Don Julio Paloma #2","The refreshing taste of Don Julio Blanco built over fresh grapefruit and lemonade.","Don Julio"
1443,"Haig Club ™ Green Tea and Grain","Green tea provides an unusual and delicate accompaniment for Haig Club ™ single grain Scotch Whisky",Haig
1443,"Maker's Mark Bou",,"Maker's Mark"
1443,"Glenmorangie Quinta Ruban",,Glenmorangie
1443,"Highland Park 12YO",,"Highland Park"
1443,"Glenkinchie 12YO",,Glenkinchie
1443,"Glenfiddich 15YO",,Glenfiddich
1443,"Bushmills Black Bush",,"Black Bush"
1444,"Bulleit Mint Julep","Savour this old American classic with fresh mint and sugar, chilled perfectly with Bulleit Bourbon",Bulleit
1444,"Bloody Mary with Don Julio Reposado","Taste the peppery flavour of Don Julio Reposado tequila with tomato juice, tabasco sauce and spices.","Don Julio"
1444,"Bloody Mary with Don Julio Reposado","Taste the peppery flavour of Don Julio Reposado tequila with tomato juice, tabasco sauce and spices.","Don Julio"
1444,"Cacique and Ginger Ale","Discover the sweet and spicey combination for Cacique Añejo Rum mixed with Ginger Ale.",Cacique
1444,"Grand Side Car","The Cognac based orange liqueur Grand Marnier will make an exceptionally well balanced Side Car","Grand Marnier"
1444,"The Balvenie Doublewood 12YO",,"The Balvenie"
1444,"Maker's Mark Bou",,"Maker's Mark"
1444,"Johnnie Walker Red Label",,"Johnnie Walker"
1445,"Bite The Bulleit","Experience the fiery taste of Bulleit Bourbon and red chilli.",Bulleit
1445,"Bulleit Apple Mustard Sour","Enjoy this classic whiskey sour revisited by Bulleit Bourbon, with apple juice and French mustard.",Bulleit
1445,Bullhive,"Enjoy Bulleit bourbon in a shot glass with a piece of honeycomb",Bulleit
1445,"Captain Morgan Cannon Ball","Enjoy the cool taste of Captain Morgan's Spiced Cannon Ball featuring Cola and a splash of lime.","Captain Morgan"
1445,"Captain Morgan Spiced Gold Cuba Libre","A rich and spicy mix of fresh lime, Captain Morgan Spiced Rum and cola.","Captain Morgan"
1445,"Ciroc Frost","A blend of Cîroc Coconut, zesty bitters and refreshing grapefruit juice. Sweet and crisp.",Ciroc
1445,"The Famous Grouse",,"The Famous Grouse"
1445,"Talisker 10YO",,Talisker
1445,"Johnnie Walker Red Label",,"Johnnie Walker"
1446,"7Up Free",,"7 Up"
1446,"7Up Free",,"7 Up"
1446,"7Up Free",,"7 Up"
1447,"7Up Free",,"7 Up"
1454,"Absolut Peppar","Hot and spicy with a distinct character of green bell, chili and jalapeño pepper",Absolut
1456,"Absolut Citron","Smooth and mellow, with a fresh fruity lemon and lime character and a note of lemon peel.",Absolut
1456,"Absolut Peppar","Hot and spicy with a distinct character of green bell, chili and jalapeño pepper",Absolut
1463,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1464,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1468,"7 Up Free","Lemon Lime soft drink containing 100% natural lemon and lime flavours","7 Up"
1470,"Bollinger Special Cuvee NV","Bollinger is one of the oldest family houses still in existence in Champagne, their methods have little changed and their wines are still outstanding.",Bollinger
1470,"Bollinger Rose NV","Bollinger Rosé is the first non vintage Rosé produced with careful blending of Pinot Noir, Chardonnay and Meunier with 5% still wine from Cote des Enfants.",Bollinger
1474,"Veuve Clicquot Yellow Label Brut","A full, dry, rounded Champagne of consistently high quality.","Veuve Clicquot"
1475,"Bee 17","Incoming! The Bee 17 turned out pretty much as you would expect a pilsner-style lager from the Backyard Brewery in Sweden to. While lagering the brewmaster bombards the brew with hops giving the beers its final profile. The grassy Saaz battles flowery Willamette for your nose's attention, giving it a pleasurable sting in the tail. No wonder there's a real buzz about this beer.","Backyard Brew"
1476,7Up,,"7 Up"
1479,Hoegaarden,,Hoegaarden
1487,"Carlsberg Export","Carlsberg Export is a pale blonde Danish Pilsner style lager, with a flowery hoppy aroma, and well balanced hoppy fruity flavours with a soft, long-lingering finish.",Carlsberg
1488,Beck's,,Beck`s
1488,"Beck's Blue 0",,Beck`s
1488,Asahi,,Asahi
1488,Amstel,,Amstel
1488,Amigos,,Casamigos
1495,"Absolut Kurant","Smooth and mellow, with a fruity black currant character and a hint of tartness.",Absolut
1495,"Absolut Peppar","Hot and spicy with a distinct character of green bell, chili and jalapeño pepper",Absolut
1495,"San Miguel Fresca","San Miguel Fresca is a pale blonde Spanish lager with a malty aroma and soft fruit flavours that provide a cleansing and refreshing hoppy finish.","San Miguel"
1512,"Birra Angelo Poretti","Birra Angelo Poretti is a pale blonde Pils-style Lager from Varese in Northern Italy with an aromatic aroma of lemons and limes, well balanced malty hoppy flavours with a subtely hoppy lingering finish.",Poretti
1512,"Bee 17","Incoming! The Bee 17 turned out pretty much as you would expect a pilsner-style lager from the Backyard Brewery in Sweden to. While lagering the brewmaster bombards the brew with hops giving the beers its final profile. The grassy Saaz battles flowery Willamette for your nose's attention, giving it a pleasurable sting in the tail. No wonder there's a real buzz about this beer.","Backyard Brew"
1513,"Birra Angelo Poretti","Birra Angelo Poretti is a pale blonde Pils-style Lager from Varese in Northern Italy with an aromatic aroma of lemons and limes, well balanced malty hoppy flavours with a subtely hoppy lingering finish.",Poretti
1513,"Bee 17","Incoming! The Bee 17 turned out pretty much as you would expect a pilsner-style lager from the Backyard Brewery in Sweden to. While lagering the brewmaster bombards the brew with hops giving the beers its final profile. The grassy Saaz battles flowery Willamette for your nose's attention, giving it a pleasurable sting in the tail. No wonder there's a real buzz about this beer.","Backyard Brew"
1514,"Baltika No7","Baltika is a pale blonde Russian Pilsner style lager from St Petersburg, with a subtle hoppy lychee aroma, and well balanced hoppy tropical fruity flavours with a soft lingering finish.",Baltika
1514,"Tetley's Smooth","Tetley's smoothflow is an ale first brewed in Leeds in 1822, light and easy drinking with a creamy caramel bitter sweetness balanced with a pleasant hoppiness and a soft caramel finish.",Tetley's
1514,"Tetley's Smoothflow","Tetley's smoothflow is an ale first brewed in Leeds in 1822, light and easy drinking with a creamy caramel bitter sweetness balanced with a pleasant hoppiness and a soft caramel finish.",Tetley's
1518,Carlsberg,"Carlsberg is a pale blonde Danish Pilsner style lager, with a flowery subtle aroma, and hoppy fruity flavours with a soft lingering finish.",Carlsberg
1524,"Mahou Cinco Estrellas","Holsten Pils is a pale blonde German Pilsner from Hamburg, with a sweet earthy lemony aroma, hoppy malty flavour and a soft lingering finish.",Holsten
1525,"Bulleit Bourbon","Its unique blend of rye, corn and barley malt, along with special strains of yeast make this small batch bourbon subtle and complex. High rye content leads to a bold spicy character and distinctively smooth, clean finish.",Bulleit
1525,"Bushmills Original","A blend of triple distilled single malt whiskey with a lighter Irish grain whiskey. Approachable with a rich‚ warming taste of fresh fruit, honey and vanilla and a crisp fresh finish with a touch of spice.",Bushmills
1525,"Bénédictine D.O.M.","27 herbs and spices secretly blended to produce a pleasing, balanced sweetness. D.O.M. stands for "Deo Optimo Maximo" meaning "To God most good, most great".","Dom Bénédictine"
1533,"Armand de Brignac Brut Gold","Complex and full bodied with fresh light floral notes sumptious on the palate with a delicious creamy texture great depth and long silky finish pressed from Chardonnay, Pinot Meunier and Pinot Noir wines.","R Wines"
1534,"Bombay Sapphire",,Bombay
1534,"Hendrick's Gin",,Hendrick's
1534,"Sipsmith London Dry Gin",,Sipsmith
1534,"Tanqueray Gin",,Tanqueray
1535,"Laurent Perrier Brut","A lighter house style; fresh and elegant. Subtle citrus, toast and spice are perfectly balanced in a structuRed Wine Champagne, ideal to enjoy with food.",Laurent-Perrier
1536,"Pilsner Urquell","The original pilsner from Pilsen. Intensely hoppy with a balance of subtle sweetness and a velvety bitterness, wrapped in a gloriously crisp body.","Pilsner Urquell"
1536,"Worthington's White Shield","Worthington's White Shield is feisty and full flavoured, with bold notes of malt and toffee.",Worthington's
1538,"Absolut Mandrin","Complex, smooth and mellow with a fruity mandarin and orange character mixed with a note of orange peel.",Absolut
1538,"Absolut Citron","Smooth and mellow, with a fresh fruity lemon and lime character and a note of lemon peel.",Absolut
1538,"Absolut Kurant","Smooth and mellow, with a fruity black currant character and a hint of tartness.",Absolut
1538,"Absolut Vanilia","Rich, robust and complex with a distinct character of vanilla, notes of butterscotch and hints of dark chocolate.",Absolut
1538,"Absolut Raspberri","Made exclusively from natural ingredients, and unlike most other flavored vodkas, without any added sugar Absolut Rasberri is rich and intense with the fresh and fruity character of ripened raspberries",Absolut
1538,"Absolut Peppar","Hot and spicy with a distinct character of green bell, chili and jalapeño pepper",Absolut
1540,7Up,,"7 Up"
1540,"7Up Free",,"7 Up"
1540,"7Up Free",,"7 Up"
1540,"7Up Free",,"7 Up"
1545,"Coca Cola","Sparkling Soft Drink with Vegetable Extracts",Coca-Cola
